Epoch,Accuracy,Validation Accuracy,Loss,Validation Loss,precision
1,0.5933201909065247,0.7157363295555115,1.092583179473877,0.921000599861145,0.37325307726860046
2,0.7168359756469727,0.7318896055221558,0.8603981733322144,0.7768213152885437,0.43462902307510376
3,0.7357690930366516,0.745348334312439,0.7586847543716431,0.7147651314735413,0.5115234851837158
4,0.7484195828437805,0.7604379653930664,0.7084159851074219,0.6597502827644348,0.5462337732315063
5,0.7574394345283508,0.7716984152793884,0.673755943775177,0.6324882507324219,0.556500256061554
